Wall time,Step,Value
1504550239,46435,2.310389519
1504550360,46551,2.460448742
1504550478,46667,2.603478909
1504550600,46785,1.69135654
1504550720,46901,1.413999915
1504550837,47015,1.406805515
1504550957,47131,2.300117731
1504551079,47249,2.831261635
1504551199,47365,2.242993355
1504551320,47482,1.258770108
1504551438,47597,1.688938141
1504551558,47709,2.452465773
1504551688,47825,1.881572127
1504551799,47934,1.988654375
1504551919,48051,2.30531764
1504552038,48167,2.160964012
1504552160,48285,2.577340841
1504552280,48402,2.127006292
1504552399,48518,2.209403276
1504552520,48635,2.227818727
1504552638,48751,1.343642473
1504552760,48869,2.249801397
1504552880,48986,2.07922554
1504552999,49102,2.378818035
1504553117,49218,2.657334089
1504553237,49334,1.977349877
1504553358,49449,2.59664464
1504553480,49567,1.358927727
1504553597,49681,2.584971666
1504553720,49799,1.510146499
1504553838,49915,2.414962769
1504553957,50031,1.754385829
1504554079,50150,2.098050594
1504554199,50266,1.942345262
1504554318,50382,1.883679032
1504554438,50498,2.060273886
1504554558,50613,1.984168291
1504554680,50731,3.506761551
1504554801,50847,2.319627285
1504554921,50963,1.90907371
1504555039,51078,2.763050556
1504555157,51193,1.865159631
1504555278,51310,2.301114559
1504555398,51427,2.158010721
1504555519,51546,2.056169987
1504555639,51663,1.780623674
1504555758,51779,2.662101507
1504555877,51896,1.386738181
1504555999,52015,2.1423347
1504556119,52133,1.971595049
1504556238,52250,2.017827988
1504556360,52368,2.368706703
1504556478,52483,1.793204665
1504556600,52601,2.623767853
1504556719,52717,1.92595911
1504556837,52833,2.762331486
1504556958,52950,1.381241798
1504557080,53069,1.090406299
1504557197,53184,1.847277641
1504557320,53302,2.330247641
1504557439,53418,1.529327989
1504557559,53534,3.058101177
1504557678,53651,2.002199173
1504557800,53769,3.156388521
1504557917,53884,2.026051998
1504558041,54002,2.273519754
1504558158,54116,2.578143597
1504558277,54233,1.799137831
1504558400,54351,1.351903319
1504558519,54467,1.668221354
1504558637,54583,2.031655073
1504558757,54698,1.436306715
1504558880,54817,2.219438553
1504558999,54933,2.309666872
1504559120,55049,2.659729958
1504559239,55166,2.141350746
1504559357,55281,1.911378503
1504559477,55397,2.152895212
1504559597,55513,1.482549071
